Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sandbox,Chrome 118.0.0.0,,,2023-11-02 12:35:06,2023-11-02 12:43:07,8m - 1.179s,PASSED
,,,,,,,
Test Cases/Improve group sandbox/Login,Chrome 118.0.0.0,,,2023-11-02 12:35:07,2023-11-02 12:35:59,51.858s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-02 12:35:08,2023-11-02 12:35:14,6.184s,PASSED
"navigateToUrl(""https://login.microsoftonline.com/5962d1ad-6415-4cb2-be1f-0a8eb0738701/oauth2/authorize?client_id=00000007-0000-0000-c000-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3dMAAAAJuRwNptVRHui8UAIkgoLxtiDR72xemKGiQtVno7Y9cddPSyadFN-yt9EaVTRhRVLAEAAAABAAAACS5yZWRpcmVjdCRodHRwczovL2lnLXNhbmRib3guY3JtLmR5bmFtaWNzLmNvbS8%26RedirectTo%3dMAAAAJuRwNptVRHui8UAIkgoLxsIpB2wm%252behUpsJJrDAl3wnWba7gA8ouEjACI7q%252bSzRnWh0dHBzOi8vaWctc2FuZGJveC5jcm0uZHluYW1pY3MuY29tLw%253d%253d%26RedirectToForMcas%3dhttps%253a%252f%252fig-sandbox.crm.dynamics.com%252f&nonce=638345035009298041.ZTk3ZTFiYmMtNDhlZi00MjBiLWI5OTMtMjQ5NWRiOWZiNzdlZjU0ZTQyOGItODY3ZC00NzFkLWJjY2EtNTNmNzY3ZWJiYjli&redirect_uri=https%3a%2f%2fbn1--namcrmlivesg645.crm.dynamics.com%2f&max_age=86400"")",Chrome 118.0.0.0,,,2023-11-02 12:35:14,2023-11-02 12:35:16,1.608s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_loginfmt""), ""developer@improvegroup.net"")",Chrome 118.0.0.0,,,2023-11-02 12:35:16,2023-11-02 12:35:21,4.919s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:35:21,2023-11-02 12:35:21,0.634s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign in to your account/input_Enter password_passwd""), ""sK5W0xXM7P4PcWMR5eMBjA=="")",Chrome 118.0.0.0,,,2023-11-02 12:35:21,2023-11-02 12:35:24,2.342s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:35:24,2023-11-02 12:35:25,1.437s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/span_Dont show this again""))",Chrome 118.0.0.0,,,2023-11-02 12:35:25,2023-11-02 12:35:26,1.273s,PASSED
